  [1,]  9.620419 50.22795
  [2,]  9.637610 50.22809
  [3,]  9.637790 50.22435
  [4,]  9.677978 50.22465
  [5,]  9.678480 50.21344
  [6,]  9.689960 50.21352
  [7,]  9.690128 50.20978
  [8,]  9.696369 50.19862
  [9,]  9.697180 50.17994
 [10,]  9.720899 50.16517
 [11,]  9.726700 50.16520
 [12,]  9.732928 50.15403
 [13,]  9.738720 50.15407
 [14,]  9.738870 50.15034
 [15,]  9.744659 50.15038
 [16,]  9.750601 50.14668
 [17,]  9.750890 50.13921
 [18,]  9.745391 50.13170
 [19,]  9.745680 50.12423
 [20,]  9.751321 50.12800
 [21,]  9.774488 50.12816
 [22,]  9.780430 50.12446
 [23,]  9.780979 50.10951
 [24,]  9.786771 50.10955
 [25,]  9.786629 50.11329
 [26,]  9.804040 50.11340
 [27,]  9.804311 50.10592
 [28,]  9.798499 50.10589
 [29,]  9.804559 50.09845
 [30,]  9.804831 50.09097
 [31,]  9.816550 50.08731
 [32,]  9.822350 50.08734
 [33,]  9.834070 50.08367
 [34,]  9.834199 50.07993
 [35,]  9.828529 50.07616
 [36,]  9.817070 50.07235
 [37,]  9.811540 50.06485
 [38,]  9.817459 50.06114
 [39,]  9.806150 50.05360
 [40,]  9.806540 50.04239
 [41,]  9.829680 50.04252
 [42,]  9.829810 50.03878
 [43,]  9.835720 50.03508
 [44,]  9.841500 50.03511
 [45,]  9.858969 50.03147
 [46,]  9.882100 50.03160
 [47,]  9.881979 50.03534
 [48,]  9.887529 50.04286
 [49,]  9.893199 50.04662
 [50,]  9.898979 50.04665
 [51,]  9.898870 50.05039
 [52,]  9.904659 50.05043
 [53,]  9.916679 50.03553
 [54,]  9.928478 50.02811
 [55,]  9.928590 50.02437
 [56,]  9.934260 50.02814
 [57,]  9.940040 50.02817
 [58,]  9.939931 50.03191
 [59,]  9.945720 50.03194
 [60,]  9.945841 50.02821
 [61,]  9.951609 50.02824
 [62,]  9.951500 50.03198
 [63,]  9.957179 50.03575
 [64,]  9.962649 50.04700
 [65,]  9.962549 50.05074
 [66,]  9.974129 50.05080
 [67,]  9.979809 50.05457
 [68,]  9.985700 50.05087
 [69,]  9.986209 50.03216
 [70,]  9.997880 50.02848
 [71,] 10.009449 50.02854
 [72,] 10.009349 50.03228
 [73,] 10.020829 50.03608
 [74,] 10.026609 50.03611
 [75,] 10.038280 50.03243
 [76,] 10.038570 50.02121
 [77,] 10.032890 50.01744
 [78,] 10.044648 50.01002
 [79,] 10.044949 49.99880
 [80,] 10.022039 49.99120
 [81,] 10.021930 49.99494
 [82,] 10.010379 49.99488
 [83,] 10.004918 49.98364
 [84,] 10.005030 49.97990
 [85,] 10.028019 49.98375
 [86,] 10.045350 49.98384
 [87,] 10.045560 49.97636
 [88,] 10.040099 49.96512
 [89,] 10.040409 49.95391
 [90,] 10.034659 49.95388
 [91,] 10.029091 49.94638
 [92,] 10.023429 49.94262
 [93,] 10.023320 49.94635
 [94,] 10.011799 49.94629
 [95,] 10.012009 49.93882
 [96,] 10.017891 49.93512
 [97,] 10.006470 49.93131
 [98,] 10.000709 49.93129
 [99,]  9.988951 49.93870
[100,]  9.983180 49.93867
[101,]  9.977530 49.93491
[102,]  9.954479 49.93478
[103,]  9.954360 49.93852
[104,]  9.942579 49.94593
[105,]  9.925529 49.93836
[106,]  9.914250 49.93083
[107,]  9.914630 49.91962
[108,]  9.920390 49.91966
