 [1,]  9.934709 49.83766
 [2,]  9.923099 49.84131
 [3,]  9.923229 49.83759
 [4,]  9.917358 49.84128
 [5,]  9.911619 49.84124
 [6,]  9.912419 49.81888
 [7,]  9.900949 49.81881
 [8,]  9.895080 49.82250
 [9,]  9.889489 49.81874
[10,]  9.889619 49.81501
[11,]  9.883880 49.81497
[12,]  9.883739 49.81870
[13,]  9.878009 49.81867
[14,]  9.878570 49.80377
[15,]  9.884719 49.79263
[16,]  9.878989 49.79259
[17,]  9.884860 49.78890
[18,]  9.902179 49.78529
[19,]  9.908180 49.77789
[20,]  9.914049 49.77421
[21,]  9.914179 49.77048
[22,]  9.908319 49.77417
[23,]  9.896869 49.77409
[24,]  9.879978 49.76653
[25,]  9.880120 49.76281
[26,]  9.897288 49.76292
[27,]  9.891841 49.75544
[28,]  9.880689 49.74792
[29,]  9.886690 49.74053
[30,]  9.903838 49.74065
[31,]  9.909438 49.74441
[32,]  9.915419 49.73701
[33,]  9.921139 49.73705
[34,]  9.926999 49.73337
[35,]  9.932711 49.73341
[36,]  9.938568 49.72974
[37,]  9.944560 49.72234
[38,]  9.938851 49.72230
[39,]  9.938978 49.71859
[40,]  9.950679 49.71124
[41,]  9.950821 49.70753
[42,]  9.968090 49.70394
[43,]  9.979390 49.70773
[44,]  9.985110 49.70777
[45,]  9.984980 49.71148
[46,]  9.990690 49.71152
[47,]  9.990430 49.71895
[48,]  9.984718 49.71891
[49,]  9.978870 49.72258
[50,]  9.978729 49.72629
[51,]  9.984449 49.72634
[52,]  9.984319 49.73005
[53,]  9.990040 49.73008
[54,]  9.989650 49.74124
[55,]  9.983800 49.74492
[56,]  9.977689 49.75603
[57,]  9.971960 49.75599
[58,]  9.960379 49.75963
[59,]  9.965979 49.76339
[60,]  9.965849 49.76711
[61,]  9.983029 49.76721
[62,]  9.982899 49.77094
[63,]  9.976919 49.77834
[64,]  9.982649 49.77838
[65,]  9.988251 49.78213
[66,]  9.988130 49.78586
[67,]  9.999590 49.78593
[68,]  9.999699 49.78222
[69,] 10.005449 49.78224
[70,] 10.005319 49.78596
[71,] 10.010928 49.78972
[72,] 10.010810 49.79344
[73,] 10.016419 49.79719
[74,] 10.010689 49.79716
[75,] 10.004590 49.80829
[76,] 10.004351 49.81573
[77,]  9.992750 49.81938
[78,]  9.992260 49.83428
[79,]  9.986642 49.83052
[80,]  9.980768 49.83421
[81,]  9.969291 49.83414
[82,]  9.952190 49.83031
[83,]  9.952320 49.82659
[84,]  9.946579 49.82655
[85,]  9.940708 49.83024
[86,]  9.934969 49.83020
[87,]  9.934709 49.83766
